name,numberrange,phone,email,address
Kasper Lane,24782704-8,(05) 8232 6654,cras.lorem@protonmail.couk,"P.O. Box 274, 2005 Cras Road"
Nichole Huber,49841309-9,(03) 6768 7235,eu.tempor@protonmail.org,Ap #968-1472 Id Street
Dolan May,23743402-1,(03) 2347 6817,auctor.velit@outlook.net,"P.O. Box 470, 6838 Tristique Av."
Kimberly Spears,5075699-8,(06) 0613 2777,penatibus.et@hotmail.edu,965-253 Posuere Rd.
Dara Mosley,25364-2,(09) 4072 7584,in.consequat@aol.ca,Ap #886-3785 Sed Street
Yardley Valdez,6217813-2,(07) 6781 2073,adipiscing.fringilla.porttitor@google.couk,"P.O. Box 902, 2168 Integer Rd."
Lev Hartman,2392850-7,(07) 5332 7306,primis.in@protonmail.edu,667 Diam St.
Lacota Pollard,35919413-7,(04) 8212 2826,donec.nibh.quisque@google.edu,666-6786 Gravida Road
Violet Sullivan,10712556-6,(04) 5077 6575,semper.et.lacinia@hotmail.couk,Ap #476-3426 Scelerisque Road
Aiko Fuentes,35285536-7,(05) 3595 5283,ac.mattis.velit@aol.edu,6248 Nascetur Ave
